rollout,feasible,violation,J_D,J_P,J_B,mu_D,mu_P,mu_B,coverage,enhanced_tiles,reward,mean_psnr_db,pds_value_loss
73,0,13.5072,8.8393,5.34,12.9678,3.7155,1.2765,2.8513,0.878,37.39,-96.916,52.353,15.989345
74,0,13.0597,8.6112,5.1929,12.7485,3.7483,1.2804,2.8757,0.8806,37.37,-97.398,52.391,6.155219
75,0,13.2323,8.7031,5.2325,12.8291,3.7809,1.285,2.9001,0.8808,37.44,-98.504,52.392,15.996428
76,0,12.611,8.2615,5.3176,12.6495,3.8139,1.2896,2.9248,0.8784,37.73,-100.096,52.408,6.444302
77,0,12.5032,8.2177,5.3207,12.5855,3.8471,1.2938,2.9492,0.8784,37.39,-101.761,52.402,13.89148
78,0,12.1691,7.9178,5.341,12.5513,3.8801,1.2982,2.9737,0.876,37.45,-102.518,52.298,6.774965
79,0,12.1925,7.966,5.3532,12.5265,3.9135,1.3018,2.998,0.8758,37.33,-103.604,52.298,17.6916
80,0,12.301,8.0114,5.1705,12.5896,3.9464,1.3061,3.0228,0.8779,37.77,-105.061,52.345,6.145275
81,0,12.3325,8.0252,5.2443,12.6073,3.9795,1.3103,3.0474,0.8792,37.62,-105.968,52.345,17.356243
82,0,12.162,7.7812,5.2732,12.6808,4.0124,1.3146,3.0719,0.8773,37.45,-106.863,52.26,6.823694
83,0,12.4999,8.0465,5.2967,12.7535,4.045,1.3194,3.0964,0.8757,37.54,-107.81,52.231,13.35329
84,0,11.1765,7.2256,5.7201,12.2509,4.0778,1.3239,3.1209,0.8765,37.54,-108.82,52.283,5.123971
85,0,11.0733,7.2052,5.5229,12.1682,4.1107,1.3285,3.1454,0.875,37.48,-109.829,52.285,12.352203
86,0,11.3118,7.2406,5.3865,12.3712,4.1437,1.3332,3.17,0.8704,37.59,-111.258,52.129,5.706055
87,0,12.687,8.0561,5.3724,12.9309,4.176,1.3381,3.1944,0.8787,37.44,-112.004,52.282,12.296956
88,0,11.8588,7.5228,5.059,12.636,4.2085,1.3427,3.2188,0.8702,37.49,-112.685,52.157,4.701875
89,0,12.3993,7.8744,4.9612,12.8249,4.2411,1.3468,3.2433,0.8708,37.47,-113.689,52.15,14.92658
90,0,12.109,7.6964,5.0554,12.7126,4.274,1.3515,3.2677,0.8725,37.44,-115.268,52.244,5.544187
91,0,12.0437,7.6666,4.9118,12.6771,4.3064,1.3562,3.2921,0.8765,37.45,-116.489,52.26,12.004075
92,0,11.4251,7.295,4.981,12.4301,4.338,1.3612,3.3162,0.876,37.15,-116.044,52.334,3.910378
93,0,13.8689,8.8136,4.5549,13.3553,4.3708,1.3653,3.3407,0.8774,37.53,-117.033,52.334,12.455035
94,0,13.172,8.4098,4.2703,13.0622,4.4028,1.3698,3.3649,0.8759,37.24,-118.245,52.344,4.979969
95,0,13.1202,8.3505,4.2153,13.0697,4.4353,1.3748,3.3895,0.8759,37.56,-119.613,52.357,12.821008
96,0,12.2172,7.7482,4.2111,12.769,4.4684,1.3786,3.4142,0.8724,37.67,-121.931,52.209,4.301282
97,0,12.7133,8.1161,4.1092,12.8972,4.5009,1.3827,3.4386,0.8765,37.45,-122.503,52.304,26.126337
98,0,13.2997,8.5861,3.959,13.0136,4.5332,1.3873,3.4629,0.8783,37.39,-122.953,52.258,5.033509
99,0,14.1708,9.0915,4.1304,13.3793,4.5655,1.3918,3.4873,0.8784,37.39,-123.879,52.204,11.591802
100,0,11.981,7.696,4.5554,12.5849,4.5971,1.3961,3.5113,0.8636,37.07,-123.628,52.031,3.527037
101,0,12.0585,7.7244,4.8064,12.634,4.6293,1.4006,3.5356,0.863,37.34,-124.276,52.02,3.961169
102,0,11.4813,7.3909,4.8763,12.3904,4.6613,1.4047,3.5596,0.8647,37.16,-125.928,52.025,12.119983
103,0,11.508,7.4099,4.8442,12.3981,4.693,1.4093,3.5836,0.8634,37.07,-126.36,52.022,17.639443
104,0,10.8195,6.99,5.0433,12.1295,4.7253,1.4138,3.6078,0.8634,37.24,-127.766,52.077,5.799248
105,0,10.9057,7.0356,4.9552,12.1701,4.757,1.4187,3.6319,0.8608,37.21,-128.988,52.038,25.781666
106,0,11.0103,7.0959,4.9173,12.2144,4.7888,1.4235,3.6558,0.8622,37.0,-129.563,52.075,14.608183
107,0,11.3668,7.3296,5.3564,12.3372,4.8202,1.4284,3.6796,0.8648,36.89,-129.625,52.124,10.832158
108,0,10.8943,7.0236,5.4192,12.1706,4.8519,1.4329,3.7035,0.8662,37.03,-130.889,52.161,14.516324
109,0,10.129,6.7021,5.2052,11.7269,4.8832,1.4378,3.7272,0.8638,36.82,-131.611,52.134,11.609509
110,0,10.0148,6.6567,5.2727,11.6581,4.9146,1.4428,3.7508,0.8665,36.73,-131.752,52.158,18.209978
111,0,9.6933,6.3652,6.2947,11.6281,4.9459,1.4477,3.7745,0.8707,36.89,-133.013,52.254,11.871275
112,0,9.3404,6.187,6.1492,11.4534,4.9769,1.4536,3.798,0.8692,36.63,-133.828,52.245,17.438142
113,0,8.6446,5.7363,6.0569,11.2084,5.0078,1.459,3.8214,0.8662,36.62,-134.305,52.196,10.644387
114,0,8.4555,5.6237,5.8469,11.1318,5.039,1.4642,3.8449,0.8673,36.61,-135.294,52.217,15.866563
115,0,8.2867,5.5394,5.5292,11.0473,5.0701,1.4695,3.8683,0.8667,36.63,-136.777,52.211,12.297134
116,0,8.4842,5.6868,5.4914,11.0973,5.1009,1.4746,3.8915,0.8656,36.42,-136.953,52.181,18.669569
117,0,8.4332,5.6205,6.2625,11.1127,5.1315,1.4801,3.9146,0.8725,36.34,-136.638,52.285,11.968773
118,0,8.3904,5.5875,6.3025,11.1029,5.1623,1.4855,3.9378,0.8721,36.47,-138.154,52.264,23.838583
119,0,7.8636,5.333,6.3634,10.8306,5.192,1.4912,3.9605,0.8675,35.92,-137.96,52.094,12.703164
120,0,7.8356,5.2887,6.3923,10.8468,5.2222,1.4971,3.9833,0.8663,36.12,-137.72,52.09,12.884166
121,0,7.8183,5.2476,6.3984,10.8707,5.2527,1.5024,4.0063,0.8624,36.21,-139.721,52.036,36.275428
122,0,8.1162,5.3846,6.5312,11.0004,5.2833,1.5075,4.0293,0.8665,36.22,-141.29,52.161,18.905646
123,0,6.6587,4.4443,6.4942,10.5144,5.3138,1.5128,4.0524,0.8654,36.32,-142.377,52.222,21.30982
124,0,6.6462,4.4444,6.4702,10.5018,5.3443,1.5182,4.0755,0.8632,36.36,-143.124,52.219,25.827591
125,0,6.8653,4.5033,6.2689,10.662,5.3746,1.5238,4.0984,0.8611,36.16,-144.056,52.133,21.067473
126,0,6.57,4.3054,6.2747,10.5646,5.4048,1.5292,4.1213,0.8607,36.19,-144.68,52.13,25.510602
127,0,6.7811,4.4456,6.3755,10.6355,5.4352,1.5349,4.1442,0.859,36.14,-145.601,52.104,21.781467
128,0,6.8267,4.424,6.5454,10.6574,5.4653,1.5407,4.1669,0.8616,35.99,-146.183,52.129,23.116671
129,0,6.8964,4.4863,6.4204,10.7101,5.495,1.5466,4.1894,0.8666,35.81,-145.921,52.18,22.324574
130,0,7.1496,4.609,6.4604,10.8406,5.5251,1.5524,4.2122,0.8666,36.05,-147.106,52.197,23.013416
131,0,7.4163,4.4494,6.874,10.8929,5.5553,1.5583,4.2351,0.8634,36.22,-148.916,52.139,22.228266
132,0,7.6332,4.6012,6.8657,10.9663,5.5856,1.564,4.2581,0.8662,36.23,-150.429,52.186,22.497033
133,0,7.5819,4.688,6.6555,11.0384,5.6157,1.5696,4.281,0.8644,36.12,-151.081,52.136,22.008844
134,0,7.2569,4.5843,6.5248,10.9478,5.6458,1.575,4.304,0.8558,36.31,-151.636,52.059,21.415853
135,0,6.9341,4.3199,6.5881,10.826,5.6759,1.5808,4.327,0.8601,36.21,-152.658,52.135,22.547592
136,0,6.6354,4.2348,6.4822,10.7006,5.7058,1.5868,4.3495,0.8596,35.86,-153.331,52.123,20.412128
137,0,7.2837,4.536,6.669,10.8787,5.7361,1.592,4.3725,0.8631,36.24,-154.18,52.152,21.159263
138,0,7.521,4.5707,6.7886,10.9616,5.7666,1.598,4.3956,0.8636,36.3,-156.588,52.166,19.476026
139,0,7.0044,4.5572,6.422,10.7472,5.7969,1.6038,4.4186,0.8626,36.29,-158.159,52.178,22.13919
140,0,6.897,4.5033,6.3603,10.6937,5.8271,1.6092,4.4416,0.862,36.16,-158.427,52.252,22.36417
141,0,7.5747,4.6966,6.7019,10.9763,5.8574,1.6149,4.4645,0.865,36.2,-158.837,52.228,22.628647
142,0,7.9375,4.9026,6.7176,11.1173,5.888,1.6207,4.4875,0.8642,36.29,-160.791,52.22,20.257622
143,0,8.0788,4.9565,6.9046,11.0177,5.9182,1.6267,4.5106,0.8637,36.34,-162.031,52.266,21.898133
144,0,8.1992,4.8753,7.0356,11.0884,5.9485,1.6327,4.5336,0.8611,36.2,-162.541,52.207,17.947264
145,0,7.319,4.6624,6.3407,10.9566,5.979,1.6386,4.5568,0.8561,36.42,-163.807,52.114,21.577454
146,0,7.211,4.6235,6.476,10.8875,6.0094,1.6444,4.58,0.8573,36.43,-165.341,52.115,18.660731
147,0,8.162,4.7665,6.9859,11.2096,6.0399,1.6503,4.6034,0.8537,36.51,-166.559,52.151,20.577952
148,0,8.613,4.9906,7.0921,11.3303,6.0705,1.6561,4.6266,0.8555,36.47,-167.629,52.179,21.59067
149,0,8.7914,5.1606,7.1186,11.3122,6.1012,1.6622,4.65,0.8557,36.53,-169.161,52.075,20.644673
150,0,9.4815,5.5909,7.1357,11.5548,6.1316,1.6681,4.6732,0.8585,36.47,-169.683,52.121,21.749274
151,0,8.483,5.1949,6.9415,11.1466,6.1622,1.6738,4.6964,0.8594,36.43,-170.261,52.129,20.053746
152,0,8.8142,5.4437,6.834,11.3365,6.1928,1.6787,4.7196,0.8637,36.37,-170.918,52.2,23.988309
153,0,9.0083,5.7076,5.9507,11.6008,6.2232,1.6841,4.7427,0.8636,36.37,-171.3,52.146,20.518831
154,0,8.9108,5.6413,5.9199,11.5695,6.2538,1.6889,4.7661,0.8643,36.53,-172.74,52.193,26.108855
155,0,8.9756,5.499,6.6145,11.6621,6.2841,1.6942,4.7891,0.8627,36.31,-173.611,52.182,21.981963
