rollout,feasible,violation,J_D,J_P,J_B,mu_D,mu_P,mu_B,coverage,enhanced_tiles,reward,mean_psnr_db
1752,0,0.3798,0.6798,3.7948,7.5118,4.9941,0.0,0.4366,0.8544,16.16,22.831,52.229
1753,0,0.4134,0.7134,3.7948,7.5242,4.9952,0.0,0.4358,0.8549,16.22,23.01,52.245
1754,0,0.4061,0.7061,3.7948,7.5327,4.9963,0.0,0.4351,0.8554,16.3,23.19,52.247
1755,0,0.3098,0.6098,3.7948,7.4978,4.9971,0.0,0.4342,0.8555,16.12,23.536,52.257
1756,0,0.339,0.639,3.7948,7.5095,4.9984,0.0,0.4335,0.8561,16.28,23.504,52.246
1757,0,0.2978,0.5978,3.7948,7.4881,4.9993,0.0,0.4328,0.856,16.22,23.223,52.242
1758,0,0.2568,0.5568,3.7948,7.4772,5.0,0.0,0.432,0.8555,16.2,23.963,52.24
1759,0,0.2611,0.5611,3.7948,7.4811,5.0011,0.0,0.4312,0.8543,16.26,23.522,52.228
1760,0,0.3181,0.6181,3.7948,7.5078,5.0022,0.0,0.4305,0.8538,16.25,23.06,52.211
1761,0,0.2872,0.5872,3.7948,7.4958,5.0034,0.0,0.4297,0.8554,16.27,23.339,52.222
1762,0,0.3333,0.6333,3.7948,7.5148,5.0044,0.0,0.4289,0.856,16.17,23.227,52.24
1763,0,0.3052,0.6052,3.7948,7.5086,5.0056,0.0,0.4281,0.8552,16.18,22.862,52.25
1764,0,0.2836,0.5836,3.7948,7.5043,5.0066,0.0,0.4273,0.8556,16.24,22.959,52.252
1765,0,0.2659,0.5659,3.7948,7.4953,5.0075,0.0,0.4265,0.8548,16.21,23.297,52.223
1766,0,0.2779,0.5779,3.7948,7.4942,5.0087,0.0,0.4257,0.8546,16.22,23.162,52.218
1767,0,0.2703,0.5703,3.7948,7.4984,5.0097,0.0,0.4249,0.8543,16.23,23.343,52.223
1768,0,0.2641,0.5641,3.7948,7.4935,5.0107,0.0,0.4241,0.8552,16.15,23.422,52.224
1769,0,0.2878,0.5878,3.7948,7.4949,5.0119,0.0,0.4233,0.855,16.24,23.296,52.224
1770,0,0.2831,0.5831,3.7948,7.4869,5.013,0.0,0.4225,0.855,16.21,22.879,52.221
1771,0,0.2791,0.5791,3.7948,7.4786,5.0142,0.0,0.4217,0.8551,16.17,22.696,52.238
1772,0,0.2396,0.5396,3.7948,7.4659,5.0151,0.0,0.4209,0.8546,16.24,23.141,52.236
1773,0,0.2916,0.5916,3.7948,7.4765,5.0161,0.0,0.4201,0.8558,16.21,23.624,52.256
1774,0,0.2858,0.5858,3.7948,7.4796,5.0173,0.0,0.4193,0.8554,16.21,22.926,52.267
1775,0,0.3027,0.6027,3.7948,7.4903,5.0183,0.0,0.4186,0.8543,16.26,23.327,52.245
1776,0,0.3031,0.6031,3.7948,7.4763,5.0197,0.0,0.4178,0.8554,16.23,23.116,52.252
1777,0,0.3219,0.6219,3.7948,7.4899,5.021,0.0,0.4172,0.853,16.32,22.916,52.192
1778,0,0.3285,0.6285,3.7948,7.5025,5.022,0.0,0.4164,0.855,16.2,22.723,52.248
1779,0,0.3044,0.6044,3.7948,7.4941,5.0233,0.0,0.4157,0.8538,16.29,22.786,52.222
1780,0,0.3118,0.6118,3.7948,7.5032,5.0243,0.0,0.4149,0.8541,16.22,23.075,52.219
1781,0,0.2915,0.5915,3.7948,7.5061,5.0255,0.0,0.4141,0.855,16.24,23.282,52.266
1782,0,0.329,0.629,3.7948,7.5018,5.0264,0.0,0.4133,0.8557,16.21,23.449,52.252
1783,0,0.3361,0.6361,3.7948,7.4984,5.0276,0.0,0.4126,0.8553,16.27,23.455,52.25
1784,0,0.2946,0.5946,3.7948,7.4812,5.0283,0.0,0.4118,0.856,16.17,23.509,52.25
1785,0,0.3173,0.6173,3.7948,7.4966,5.0294,0.0,0.411,0.8564,16.25,23.619,52.252
1786,0,0.2651,0.5651,3.7948,7.4837,5.0307,0.0,0.4103,0.8546,16.28,23.547,52.252
1787,0,0.3372,0.6372,3.7948,7.5036,5.0317,0.0,0.4096,0.8553,16.22,23.69,52.249
1788,0,0.3422,0.6422,3.7948,7.5037,5.0326,0.0,0.4088,0.8544,16.26,23.502,52.218
