rollout,feasible,violation,J_D,J_P,J_B,mu_D,mu_P,mu_B,coverage,enhanced_tiles,reward,mean_psnr_db,pds_value_loss
81,0,12.7295,6.9401,5.8778,12.0317,4.0219,1.8104,3.045,0.872,37.26,-109.789,52.325,20.285182
82,0,12.8438,6.9619,5.955,12.0469,4.0546,1.821,3.0689,0.8747,37.04,-110.539,52.385,14.824222
83,0,11.9076,6.3518,6.048,11.6279,4.0868,1.8322,3.0928,0.8689,36.96,-111.073,52.276,4.928461
84,0,12.0732,6.437,6.0794,11.6768,4.1191,1.8431,3.1167,0.8706,37.02,-111.937,52.289,23.070852
85,0,10.1126,5.8126,5.3256,11.0943,4.1513,1.8536,3.1403,0.8646,36.79,-112.499,52.233,2.976203
86,0,10.2945,5.887,5.34,11.1875,4.1837,1.8641,3.1641,0.8685,36.92,-113.443,52.28,2.398625
87,0,10.075,5.6929,5.4102,11.0918,4.2154,1.8749,3.1875,0.8684,36.56,-113.965,52.281,27.346272
88,0,10.1482,5.723,5.4398,11.1053,4.2475,1.8855,3.2111,0.8676,36.82,-114.875,52.276,8.687436
89,0,10.0964,5.2308,6.0087,10.9768,4.2794,1.8957,3.2346,0.869,36.66,-115.938,52.265,11.316705
90,0,10.1809,5.2458,6.0383,11.0168,4.3116,1.9066,3.2581,0.8678,36.64,-117.431,52.274,24.238895
91,0,9.7962,4.8931,6.1782,10.8449,4.3434,1.9173,3.2814,0.8644,36.52,-118.492,52.191,6.569292
92,0,10.0041,4.993,6.2488,10.8822,4.3748,1.9279,3.3046,0.8684,36.42,-118.251,52.222,23.640267
93,0,9.5893,4.8149,6.132,10.7625,4.4072,1.9378,3.3282,0.8643,36.72,-119.382,52.167,16.695768
94,0,8.7215,4.699,5.6235,10.519,4.4386,1.948,3.3512,0.8663,36.28,-120.081,52.127,12.186172
95,0,9.0883,4.9634,5.5866,10.6582,4.4705,1.9587,3.3746,0.8654,36.58,-121.232,52.143,14.790066
96,0,8.9123,4.5862,5.8815,10.5647,4.5028,1.9685,3.3982,0.8643,36.75,-123.361,52.118,13.564531
97,0,8.8885,4.6601,5.7421,10.6063,4.5347,1.9786,3.4215,0.8632,36.5,-123.882,52.104,13.270088
98,0,8.237,4.5082,5.4153,10.4335,4.5663,1.989,3.4446,0.8631,36.37,-124.312,52.12,13.17754
99,0,8.3139,4.6263,5.3477,10.4599,4.5981,1.9993,3.468,0.8643,36.53,-125.346,52.152,16.445687
100,0,8.4081,4.8074,5.1193,10.6014,4.6294,2.0094,3.4911,0.8618,36.41,-125.967,52.195,13.305516
101,0,8.4142,5.0723,4.8025,10.6594,4.6615,2.0198,3.5147,0.8608,36.72,-127.41,52.15,13.652899
102,0,8.7824,5.193,4.9576,10.7519,4.6933,2.0299,3.5381,0.8646,36.61,-129.168,52.182,12.393937
103,0,9.098,5.2608,5.0827,10.8745,4.7251,2.0406,3.5615,0.8639,36.61,-130.113,52.172,16.274013
104,0,8.2913,4.7202,5.1237,10.5674,4.7575,2.051,3.5852,0.8609,36.82,-132.116,52.114,13.65497
105,0,8.3724,4.819,5.064,10.6094,4.7895,2.0618,3.6088,0.8591,36.84,-133.708,52.049,16.556972
106,0,8.4106,5.0855,4.8283,10.6168,4.8216,2.0724,3.6321,0.8646,36.5,-134.28,52.12,13.4371
107,0,8.4925,5.1045,4.8288,10.6791,4.8534,2.0831,3.6555,0.8636,36.56,-134.654,52.201,16.954415
108,0,8.2018,4.9416,4.8546,10.5256,4.8855,2.0933,3.679,0.8613,36.65,-136.016,52.171,12.353079
109,0,8.7302,5.0639,5.0748,10.7115,4.9174,2.1039,3.7024,0.858,36.64,-137.198,52.102,19.227129
110,0,8.1679,4.9189,4.8901,10.4789,4.9494,2.1146,3.7257,0.8676,36.46,-137.812,52.3,13.659971
111,0,8.7304,5.3291,4.7563,10.7649,4.9817,2.1249,3.7494,0.8666,36.9,-139.556,52.21,14.004519
112,0,8.3684,4.8114,5.1461,10.5309,5.0135,2.1361,3.7729,0.8641,36.6,-140.889,52.24,12.816289
113,0,8.6325,5.076,5.0157,10.6609,5.0455,2.147,3.7966,0.863,36.84,-141.958,52.168,12.88161
114,0,9.1238,5.1458,5.2437,10.8543,5.0778,2.1575,3.8203,0.8638,36.89,-143.553,52.248,13.207395
115,0,9.2413,5.1488,5.3056,10.907,5.1104,2.1679,3.8442,0.8651,36.97,-145.527,52.236,13.227567
116,0,9.3673,4.8054,5.792,10.89,5.1422,2.1785,3.8677,0.8622,36.64,-145.635,52.119,11.942969
117,0,9.773,4.9637,5.8995,11.0298,5.1743,2.1891,3.8913,0.8698,36.81,-145.679,52.264,14.816894
118,0,9.8626,5.0497,5.9021,11.0308,5.2065,2.1998,3.9149,0.8667,36.76,-147.6,52.236,12.669858
119,0,9.5997,5.0238,5.6732,11.0227,5.2379,2.2105,3.9382,0.8632,36.49,-147.885,52.251,17.217305
120,0,9.8703,5.3171,5.6631,11.0101,5.2698,2.2211,3.9617,0.8677,36.63,-148.247,52.347,13.002989
121,0,10.688,5.7244,5.7196,11.3639,5.3023,2.2313,3.9854,0.8677,36.85,-150.669,52.338,16.876993
