rollout,feasible,violation,J_D,J_P,J_B,mu_D,mu_P,mu_B,coverage,enhanced_tiles,reward,mean_psnr_db
966,0,0.2986,0.4186,3.867,7.3274,2.9132,0.6545,1.9307,0.8452,15.84,9.78,52.024
967,0,0.3074,0.4274,3.8253,7.3129,2.914,0.6544,1.9308,0.8487,15.75,10.018,52.091
968,0,0.26,0.38,3.8253,7.3035,2.9148,0.6542,1.9311,0.8471,15.81,10.079,52.074
969,0,0.26,0.38,3.8253,7.3114,2.9156,0.6541,1.9312,0.8484,15.73,10.063,52.112
970,0,0.2599,0.3799,3.867,7.3062,2.9163,0.654,1.9313,0.8469,15.76,10.078,52.07
971,0,0.3035,0.4235,3.9087,7.3318,2.9173,0.654,1.9315,0.8474,15.77,9.848,52.082
972,0,0.2681,0.3881,3.8627,7.3135,2.9179,0.6538,1.9318,0.8448,15.86,9.768,52.016
973,0,0.2519,0.3719,3.8627,7.3054,2.9186,0.6537,1.932,0.8428,15.83,9.883,52.01
974,0,0.2765,0.3965,3.946,7.3353,2.9194,0.6536,1.9321,0.8465,15.75,9.639,52.064
975,0,0.2748,0.3948,3.946,7.3384,2.9203,0.6536,1.9324,0.8451,15.83,9.601,52.06
976,0,0.2622,0.3822,3.8627,7.3131,2.921,0.6535,1.9325,0.8441,15.76,9.668,51.984
977,0,0.2786,0.3986,3.8253,7.2996,2.9217,0.6533,1.9326,0.8437,15.72,9.906,51.982
978,0,0.3022,0.4222,3.8253,7.3194,2.9226,0.6533,1.9328,0.8451,15.79,9.945,52.013
979,0,0.3041,0.4241,3.867,7.3171,2.9234,0.6533,1.9331,0.8459,15.84,10.013,52.018
980,0,0.3115,0.4315,3.8365,7.32,2.9243,0.6533,1.9333,0.8493,15.81,9.845,52.091
981,0,0.2986,0.4186,3.9503,7.3237,2.9252,0.6532,1.9336,0.8462,15.91,9.461,52.017
982,0,0.3179,0.4379,3.8365,7.314,2.9261,0.6533,1.9338,0.8472,15.79,9.478,52.078
983,0,0.2831,0.4031,3.8667,7.3014,2.9269,0.6532,1.9341,0.8465,15.84,9.798,52.033
984,0,0.2637,0.3837,3.8709,7.2948,2.9277,0.6532,1.9342,0.8451,15.78,10.018,52.005
985,0,0.2489,0.3689,3.8709,7.2988,2.9285,0.6532,1.9345,0.8467,15.82,10.19,52.018
986,0,0.2221,0.3421,3.8709,7.2877,2.9294,0.6532,1.9347,0.848,15.84,10.065,52.1
987,0,0.187,0.307,3.9786,7.2838,2.9303,0.6534,1.9349,0.8475,15.83,9.561,52.097
988,0,0.2292,0.3492,3.8782,7.283,2.9309,0.6533,1.9352,0.8474,15.83,9.663,52.1
989,0,0.2475,0.3675,3.8365,7.2864,2.9315,0.6532,1.9353,0.8457,15.73,10.35,52.094
990,0,0.264,0.384,3.8365,7.2879,2.9324,0.6532,1.9355,0.8459,15.83,9.935,52.092
991,0,0.26,0.38,3.8365,7.2777,2.9332,0.6532,1.9357,0.8457,15.82,9.785,52.058
992,0,0.3105,0.3748,4.0558,7.3377,2.9339,0.6532,1.9359,0.8493,15.77,10.093,52.099
993,0,0.2793,0.3435,4.0558,7.3157,2.9346,0.6532,1.9361,0.8493,15.76,10.207,52.099
994,0,0.2415,0.3615,3.9786,7.3152,2.9355,0.6533,1.9363,0.8494,15.81,9.728,52.107
995,0,0.2383,0.3583,3.9786,7.3032,2.9362,0.6534,1.9365,0.8492,15.81,9.704,52.114
996,0,0.2725,0.3925,3.9011,7.3029,2.9369,0.6534,1.9367,0.8492,15.8,10.086,52.114
997,0,0.2526,0.3726,3.9428,7.3051,2.9375,0.6534,1.9369,0.8496,15.76,10.263,52.089
998,0,0.2556,0.3756,3.9848,7.3009,2.9383,0.6535,1.9371,0.846,15.83,10.101,52.091
999,0,0.2509,0.3709,3.9011,7.2908,2.9392,0.6534,1.9373,0.846,15.85,9.762,52.09
1000,0,0.2991,0.3633,4.0558,7.3202,2.9401,0.6536,1.9375,0.8474,15.79,9.464,52.098
1001,0,0.2802,0.4002,3.9084,7.3133,2.9409,0.6537,1.9377,0.8466,15.82,9.694,52.062
1002,0,0.2872,0.4072,3.9503,7.3262,2.9419,0.6538,1.9381,0.8466,15.89,9.413,52.076
1003,0,0.284,0.404,3.9503,7.3266,2.9425,0.6539,1.9384,0.8463,15.89,9.687,52.071
1004,0,0.2504,0.3704,3.9858,7.3254,2.9433,0.6538,1.9386,0.8448,15.82,9.834,52.123
1005,0,0.2547,0.3531,4.0217,7.3229,2.944,0.6539,1.9387,0.8434,15.78,9.761,52.061
1006,0,0.2615,0.3815,3.9858,7.3239,2.9446,0.654,1.9389,0.8447,15.81,10.014,52.07
1007,0,0.2732,0.3932,3.9858,7.3189,2.9453,0.654,1.9391,0.8442,15.76,10.107,52.065
1008,0,0.3024,0.4224,3.9087,7.3101,2.9459,0.6539,1.9393,0.8443,15.82,10.144,52.067
1009,0,0.2819,0.4019,3.7948,7.2881,2.947,0.6539,1.9395,0.8448,15.82,9.403,52.057
1010,0,0.305,0.425,3.8253,7.2959,2.948,0.6539,1.9397,0.8464,15.75,9.364,52.054
1011,0,0.3208,0.4408,3.7948,7.3049,2.9486,0.6539,1.9398,0.845,15.78,10.018,52.088
1012,0,0.2849,0.4049,3.7948,7.2894,2.9493,0.6537,1.94,0.8444,15.77,10.301,52.046
1013,0,0.2861,0.4061,3.7948,7.2907,2.9501,0.6536,1.9401,0.8448,15.74,10.317,52.057
1014,0,0.2884,0.4084,3.9087,7.3004,2.951,0.6535,1.9403,0.8461,15.79,10.265,52.062
1015,0,0.3513,0.4713,3.7948,7.3114,2.9519,0.6535,1.9405,0.8458,15.76,10.084,52.028
1016,0,0.3446,0.4646,3.7948,7.3169,2.9528,0.6534,1.9408,0.8464,15.89,9.791,52.088
1017,0,0.3675,0.4875,3.7948,7.314,2.9536,0.6533,1.9409,0.8467,15.71,9.798,52.104
1018,0,0.3475,0.4675,3.8365,7.3047,2.9548,0.6531,1.9412,0.8453,15.86,9.676,52.1
1019,0,0.3782,0.4982,3.8782,7.3139,2.9554,0.653,1.9413,0.8468,15.73,9.948,52.073
1020,0,0.3626,0.4826,3.8782,7.324,2.9562,0.653,1.9415,0.8468,15.81,10.38,52.119
1021,0,0.3299,0.4499,3.9136,7.3154,2.9572,0.6531,1.9418,0.8449,15.89,9.714,52.032
1022,0,0.3385,0.4585,3.9136,7.3309,2.9579,0.6531,1.9421,0.8458,15.91,9.484,52.073
1023,0,0.3433,0.4633,3.8782,7.3216,2.9585,0.6531,1.9423,0.8462,15.78,9.737,52.082
1024,0,0.3275,0.4475,3.9136,7.321,2.9594,0.6531,1.9426,0.8463,15.89,9.82,52.09
1025,0,0.3328,0.4528,3.9136,7.3262,2.9603,0.6532,1.9428,0.8457,15.82,9.507,52.062
1026,0,0.3233,0.4433,3.9087,7.3329,2.9611,0.6532,1.9431,0.8454,15.86,9.58,52.067
1027,0,0.3381,0.4581,3.9087,7.3345,2.9619,0.6532,1.9433,0.845,15.82,9.756,52.053
1028,0,0.312,0.432,3.9087,7.3252,2.9627,0.6533,1.9436,0.8453,15.84,9.928,52.059
1029,0,0.3453,0.4653,3.9087,7.3249,2.9635,0.6533,1.9438,0.8457,15.83,9.921,52.07
1030,0,0.3467,0.4667,3.9442,7.3268,2.9644,0.6534,1.944,0.8469,15.82,9.592,52.07
1031,0,0.3381,0.4581,3.9442,7.3201,2.9655,0.6536,1.9444,0.8455,15.91,9.22,52.065
1032,0,0.3035,0.4235,3.9442,7.3116,2.9665,0.6536,1.9446,0.8451,15.84,9.097,52.053
1033,0,0.2986,0.4186,3.9442,7.3087,2.9675,0.6538,1.9449,0.8458,15.85,9.286,52.094
1034,0,0.319,0.439,3.9442,7.3087,2.9682,0.6539,1.9451,0.8465,15.83,9.359,52.097
1035,0,0.3125,0.4325,3.9442,7.3164,2.9693,0.654,1.9454,0.8452,15.87,9.141,52.072
1036,0,0.3517,0.4717,3.9442,7.3253,2.9701,0.6542,1.9457,0.846,15.91,9.231,52.081
1037,0,0.3476,0.4676,3.9087,7.3122,2.9709,0.6542,1.946,0.8436,15.84,9.667,52.045
1038,0,0.3136,0.4336,3.9442,7.3243,2.9721,0.6542,1.9463,0.8458,15.9,9.187,52.073
1039,0,0.3147,0.4347,3.9442,7.3175,2.9728,0.6543,1.9465,0.8457,15.81,9.454,52.072
1040,0,0.3555,0.4755,3.9136,7.331,2.9736,0.6544,1.9467,0.8461,15.78,9.808,52.073
1041,0,0.3237,0.4437,3.9136,7.3301,2.9747,0.6544,1.947,0.8477,15.85,9.429,52.081
1042,0,0.3309,0.4509,3.9136,7.3299,2.9756,0.6545,1.9472,0.8481,15.76,9.414,52.086
1043,0,0.3309,0.4509,3.9136,7.3426,2.9765,0.6546,1.9474,0.8485,15.82,9.686,52.09
1044,0,0.3071,0.4271,3.9858,7.3214,2.9773,0.6547,1.9476,0.8483,15.79,9.665,52.152
1045,0,0.2905,0.3902,4.0202,7.3314,2.9779,0.6548,1.9477,0.8478,15.78,9.959,52.139
1046,0,0.2859,0.4059,3.9858,7.3357,2.9787,0.655,1.9479,0.8463,15.81,10.161,52.124
1047,0,0.2977,0.4177,3.9442,7.3242,2.9794,0.6549,1.9481,0.8457,15.83,9.831,52.099
1048,0,0.2936,0.4136,3.8782,7.3208,2.9801,0.6549,1.9483,0.8452,15.73,9.871,52.095
1049,0,0.3156,0.4356,3.9087,7.3137,2.9807,0.6548,1.9484,0.844,15.73,10.252,52.055
1050,0,0.325,0.445,3.9442,7.3339,2.9815,0.6548,1.9486,0.8456,15.81,10.079,52.071
1051,0,0.317,0.437,3.9442,7.3178,2.9822,0.6548,1.9488,0.8469,15.81,9.737,52.092
1052,0,0.3598,0.4798,3.8782,7.3356,2.9833,0.6546,1.949,0.8504,15.8,9.218,52.134
1053,0,0.3142,0.4342,3.8782,7.3277,2.9843,0.6546,1.9491,0.8466,15.74,9.195,52.038
1054,0,0.3471,0.4671,3.8782,7.3446,2.9849,0.6545,1.9493,0.8467,15.77,9.918,52.039
1055,0,0.3474,0.4674,3.8782,7.3252,2.9858,0.6545,1.9495,0.8459,15.81,9.777,52.043
1056,0,0.3474,0.4674,3.8782,7.3325,2.9867,0.6544,1.9496,0.8459,15.75,9.585,52.043
1057,0,0.3035,0.4235,3.7948,7.315,2.9874,0.6542,1.9497,0.8456,15.7,9.94,52.099
1058,0,0.3211,0.4411,3.7948,7.3162,2.9884,0.6541,1.9499,0.8452,15.78,10.08,52.064
1059,0,0.332,0.452,3.7948,7.3069,2.9892,0.6538,1.9501,0.845,15.81,9.819,52.071
1060,0,0.332,0.452,3.7948,7.3118,2.9899,0.6537,1.9503,0.8453,15.78,9.974,52.096
1061,0,0.3178,0.4378,3.7948,7.3104,2.9908,0.6535,1.9505,0.8449,15.82,9.694,52.059
1062,0,0.3101,0.4301,3.7948,7.3027,2.9918,0.6533,1.9507,0.8454,15.81,9.185,52.091
1063,0,0.3101,0.4301,3.7948,7.3101,2.993,0.6532,1.951,0.8476,15.82,9.248,52.101
